parent	node	event	mutliplicity	cluster	ref_chr_Mcinx
n15	n20	fusion	1	M24,MZ	HG992209.1,HG992232.1
n29	Hedya_salicella	fusion	1	M1,M17,M20,MZ	HG992209.1,HG992211.1,HG992212.1
n29	Hedya_salicella	fusion	1	M2,M29	HG992239.1,HG992210.1
n29	Hedya_salicella	fusion	1	M18,M26,M30	HG992231.1,HG992220.1,HG992236.1
n32	Zygaena_filipendulae	fusion	1	M30,M31	HG992234.1,HG992236.1
n59	Agonopterix_subpropinquella	fusion	1	M13,M4,MZ	HG992209.1,HG992223.1,HG992230.1
n59	Agonopterix_subpropinquella	fusion	1	M19,M21	HG992233.1,HG992225.1
n220	Erebia_aethiops	fusion	1	M13,M6	HG992230.1,HG992218.1
n220	Erebia_aethiops	fusion	1	M11,M28	HG992235.1,HG992227.1
n220	Erebia_aethiops	fusion	1	M18,MZ	HG992220.1,HG992209.1
n220	Erebia_aethiops	fusion	1	M10,M24	HG992226.1,HG992232.1
n220	Erebia_aethiops	fusion	1	M17,M20,M30	HG992236.1,HG992211.1
n220	Erebia_aethiops	fusion	1	M16,M25	HG992238.1,HG992221.1
n220	Erebia_aethiops	fusion	1	M23,M9	HG992228.1,HG992215.1
n220	Erebia_aethiops	fusion	1	M12,M21	HG992225.1,HG992216.1
n220	Erebia_aethiops	fusion	1	M22,M7	HG992222.1,HG992219.1
n220	Erebia_aethiops	fusion	1	M27,M31	HG992237.1,HG992234.1
n188	Melanargia_galathea	fusion	1	M24,M25	HG992238.1,HG992232.1
n188	Melanargia_galathea	fusion	1	M14,M29,M31	HG992239.1,HG992234.1,HG992229.1
n188	Melanargia_galathea	fusion	1	M10,M12	HG992226.1,HG992216.1
n188	Melanargia_galathea	fusion	1	M27,M7	HG992237.1,HG992219.1
n188	Melanargia_galathea	fusion	1	M13,M28	HG992235.1,HG992230.1
n164	Pararge_aegeria	fusion	1	M23,M25	HG992238.1,HG992228.1
n262	Heliconius_sara	fusion	1	M1,M27	HG992237.1,HG992212.1
n262	Heliconius_sara	fusion	1	M24,M5	HG992217.1,HG992232.1
n262	Heliconius_sara	fusion	1	M2,M26	HG992231.1,HG992210.1
n262	Heliconius_sara	fusion	1	M29,M3	HG992239.1,HG992214.1
n262	Heliconius_sara	fusion	1	M16,M28	HG992235.1,HG992221.1
n262	Heliconius_sara	fusion	1	M30,M8	HG992236.1,HG992213.1
n262	Heliconius_sara	fusion	1	M23,M9	HG992228.1,HG992215.1
n262	Heliconius_sara	fusion	1	M12,M31	HG992234.1,HG992216.1
n262	Heliconius_sara	fusion	1	M25,M4	HG992238.1,HG992223.1
n262	Heliconius_sara	fusion	1	M19,M6	HG992233.1,HG992218.1
n94	Anthocharis_cardamines	fusion	1	M29,M6	HG992239.1,HG992218.1
n113	Parapoynx_stratiotata	fusion	1	M29,M31	HG992239.1,HG992234.1
n99	Acrobasis_suavella	fusion	1	M13,MZ	HG992230.1,HG992209.1
n175	Selenia_dentaria	fusion	1	M27,M6	HG992237.1,HG992218.1
n201	Crocallis_elinguaria	fusion	1	M1,M7	HG992219.1,HG992212.1
n201	Crocallis_elinguaria	fusion	1	M16,M24	HG992221.1,HG992232.1
n201	Crocallis_elinguaria	fusion	1	M18,M3	HG992220.1,HG992214.1
n201	Crocallis_elinguaria	fusion	1	M5,M6	HG992218.1,HG992217.1
n201	Crocallis_elinguaria	fusion	1	M12,M15	HG992224.1,HG992216.1
n201	Crocallis_elinguaria	fusion	1	M19,M4	HG992233.1,HG992223.1
n201	Crocallis_elinguaria	fusion	1	M11,M16,M24	HG992221.1,HG992232.1,HG992227.1
n201	Crocallis_elinguaria	fusion	1	M23,M30	HG992228.1,HG992236.1
n201	Crocallis_elinguaria	fusion	1	M13,M21	HG992230.1,HG992225.1
n201	Crocallis_elinguaria	fusion	1	M10,M31	HG992234.1,HG992226.1
n201	Crocallis_elinguaria	fusion	1	M22,M27	HG992237.1,HG992222.1
n201	Crocallis_elinguaria	fusion	1	M14,M28	HG992235.1,HG992229.1
n201	Crocallis_elinguaria	fusion	1	M13,M21,M26	HG992225.1,HG992230.1,HG992231.1
n201	Crocallis_elinguaria	fusion	1	M12,M15,M25	HG992224.1,HG992216.1,HG992238.1
n201	Crocallis_elinguaria	fusion	1	M14,M28,M29	HG992229.1,HG992235.1,HG992239.1
n275	Eupithecia_centaureata	fusion	1	M1,M6	HG992218.1,HG992212.1
n275	Eupithecia_centaureata	fission	2	M1,M6	HG992218.1,HG992212.1
n207	Laothoe_populi	fusion	1	M29,M4	HG992239.1,HG992223.1
n180	Manduca_sexta	fusion	1	M17,M20,M29	HG992239.1,HG992211.1
n287	n305	fusion	1	M26,MZ	HG992231.1,HG992209.1
n375	Agrochola_circellaris	fusion	1	M30,M5	HG992236.1,HG992217.1
n160	Phalera_bucephala	fusion	1	M22,MZ	HG992222.1,HG992209.1
n140	Furcula_furcula	fusion	1	M30,MZ	HG992236.1,HG992209.1
n140	Furcula_furcula	fusion	1	M10,M30,MZ	HG992236.1,HG992209.1,HG992226.1
n123	Clostera_curtula	fusion	1	M25,MZ	HG992238.1,HG992209.1
n123	Clostera_curtula	fusion	1	M30,M31	HG992234.1,HG992236.1
n17	n22	fusion	1	M13,M5	HG992230.1,HG992217.1
n17	n22	fusion	1	M18,M26	HG992231.1,HG992220.1
n223	Boloria_selene	fusion	1	M26,MZ	HG992231.1,HG992209.1
n223	Fabriciana_adippe	fusion	1	M25,MZ	HG992238.1,HG992209.1
n223	Fabriciana_adippe	fusion	1	M12,M30	HG992236.1,HG992216.1
n165	Limenitis_camilla	fusion	1	M19,M28	HG992235.1,HG992233.1
n166	Hestina_assimilis	fusion	1	M14,MZ	HG992229.1,HG992209.1
n125	n143	fusion	1	M14,M29	HG992239.1,HG992229.1
n125	n143	fusion	1	M19,M26	HG992231.1,HG992233.1
n105	Danaus_plexippus_plexippus	fusion	1	M14,MZ	HG992229.1,HG992209.1
n195	n227	fusion	1	M4,MZ	HG992223.1,HG992209.1
n167	Polyommatus_icarus	fusion	1	M24,MZ	HG992209.1,HG992232.1
n145	Plebejus_argus	fusion	1	M13,M28,M31	HG992234.1,HG992235.1,HG992230.1
n146	Celastrina_argiolus	fission	1	M8	HG992213.1
n146	Glaucopsyche_alexis	fusion	1	M13,MZ	HG992209.1,HG992230.1
n93	n106	fusion	1	M1,M19	HG992233.1,HG992212.1
n93	n106	fusion	1	M25,M5	HG992238.1,HG992217.1
n93	n106	fusion	1	M12,M29	HG992239.1,HG992216.1
n93	n106	fusion	1	M18,M30	HG992236.1,HG992220.1
n93	n106	fusion	1	M11,M23	HG992228.1,HG992227.1
n93	n106	fusion	1	M14,M26	HG992231.1,HG992229.1
n93	n106	fusion	1	M28,M31	HG992235.1,HG992234.1
n129	Hesperia_comma	fusion	1	M24,MZ	HG992209.1,HG992232.1
n110	Thymelicus_sylvestris	fusion	1	M26,MZ	HG992231.1,HG992209.1
n95	n110	fusion	1	M14,M30	HG992229.1,HG992236.1
n95	n110	fusion	1	M27,M29	HG992239.1,HG992237.1
n47	n64	fusion	1	M25,M29	HG992239.1,HG992238.1
n269	Agriopis_aurantiaria	fusion	1	M26,M28	HG992231.1,HG992235.1
n269	Agriopis_marginaria	fusion	1	M24,M28	HG992235.1,HG992232.1
